,inter2,reg14_cnt,actor_type2,reg15_cnt
0,0,11346,,11346
1,1,2715,Governments and State Security Services,2715
2,2,164,Rebel Groups,164
3,3,4105,Political Militia,4105
4,4,2,Identity Militias,2
5,5,157,Rioters,157
6,6,23,Protestors,23
7,7,4137,Civilians,4137
8,8,46,External Forces/Other Forces,46
